cu_name,address1,city,state,zipcode,new_name,cu_name
HEALTH FACILITIES FCU,501 S Irby St,Florence,South Carolina,29501,,HOPE FEDERAL CREDIT UNION
HILL DISTRICT FEDERAL CREDIT UNION,2021 Centre Avenue,Pittsburgh,Pennsylvania,15219,,HOPESOUTH FCU
HOLY ROSARY CREDIT UNION,533 Campbell,Kansas City,Missouri,64106,,HORIZON CREDIT UNION
HOPE FEDERAL CREDIT UNION,4 Old River Place,Jackson,Mississippi,39202,,HORIZON CREDIT UNION
HOPESOUTH FCU,807 W Greenwood St,Abbeville,South Carolina,29620,,HOUSTON METROPOLITAN FEDERAL CREDIT UNION
HORIZON CREDIT UNION,301 North Missouri Street,Macon,Missouri,63552,,I.H. MISSISSIPPI VALLEY CREDIT UNION
HORIZON CREDIT UNION,408 Clay Street,Kingsport,Tennessee,37660,,INDUSTRIAL CU OF WHATCOM COUNTY
HOUSTON METROPOLITAN FEDERAL CREDIT UNION,608 E Tidwell Rd,Houston,Texas,77022,,INNOVATIONS FCU
I.H. MISSISSIPPI VALLEY CREDIT UNION,2121 47th St,Moline,Illinois,61265,,ISRAEL METHCOMM FCU
INDUSTRIAL CU OF WHATCOM COUNTY,1100 N State Street,Bellingham,Washington,98225,,JEFFERSON FINANCIAL FEDERAL CREDIT UNION
INNOVATIONS FCU,910 Thomas Drive,Panama City,Florida,32408,,JETSTREAM FEDERAL CREDIT UNION
ISRAEL METHCOMM FCU,P.O. Box 19144,Chicago,Illinois,60619,,KERR COUNTY FEDERAL CREDIT UNION
JEFFERSON FINANCIAL FEDERAL CREDIT UNION,7701 Airline Dr,Metairie,Louisiana,70003,,KINECTA FEDERAL CREDIT UNION
JETSTREAM FEDERAL CREDIT UNION,P.O. Box 5487,Miami Lakes,Florida,33014,,KOOTENAI VALLEY FEDERAL CREDIT UNION
KERR COUNTY FEDERAL CREDIT UNION,Kerr County Federal Credit Union  3700 Memorial Blvd,Kerrville,Texas,78028,,LAFAYETTE SCHOOLS CREDIT UNION
KINECTA FEDERAL CREDIT UNION,1440 Rosecrans Ave,Manhattan Beach,California,90266,,LAKE TRUST CREDIT UNION
KOOTENAI VALLEY FEDERAL CREDIT UNION,"P.O. Box 636,",Libby,Montana,59923,,LAKOTA FEDERAL CREDIT UNION
LAFAYETTE SCHOOLS CREDIT UNION,515 Guilbeau Rd,Lafayette,Louisiana,70506,,LATAH FEDERAL CREDIT UNION
LAKE TRUST CREDIT UNION,4605 S. Old US Highway 23,Brighton,Michigan,48114,,LATINO COMMUNITY CREDIT UNION
LAKOTA FEDERAL CREDIT UNION,"BIA 2 Main St  Lakota Trade Center, Suite 103",Kyle,South Dakota,57752,,LES FEDERAL CREDIT UNION
LATAH FEDERAL CREDIT UNION,912 S Washington Street,Moscow,Idaho,83843,,LEWIS CLARK CREDIT UNION
LATINO COMMUNITY CREDIT UNION,100 W. Morgan Street,Durham,North Carolina,27701,,LIGHTHOUSE COMMUNITY
